dataset,model,hook,extractor,feature_id,auroc,auroc_p,q_value,n_samples
rfd3_safeprotein,rfd3,block6,identity,548,0.6672176308539944,2.645092990860576e-06,0.00022571460188676912,0
rfd3_safeprotein,rfd3,block6,identity,524,0.33482093663911844,3.495100372674642e-06,0.0002684237086214125,55
rfd3_safeprotein,rfd3,block6,identity,496,0.3381267217630854,5.454951860883739e-06,0.0003757016093004495,1
rfd3_safeprotein,rfd3,block6,identity,626,0.3386776859504132,5.870337645319523e-06,0.0003757016093004495,134
rfd3_safeprotein,rfd3,block6,identity,212,0.341267217630854,8.26267023512628e-06,0.000438687507994473,10
rfd3_safeprotein,rfd3,block6,identity,663,0.3415977961432507,8.628064279037062e-06,0.000438687507994473,135
rfd3_safeprotein,rfd3,block6,identity,615,0.34165289256198345,8.690429240232334e-06,0.000438687507994473,63
rfd3_safeprotein,rfd3,block6,identity,586,0.34203856749311295,9.139323083218187e-06,0.000438687507994473,11
rfd3_safeprotein,rfd3,block6,identity,640,0.34319559228650137,1.0622793524817098e-05,0.00047104744436709503,2
rfd3_safeprotein,rfd3,block6,identity,652,0.6564187327823692,1.1166467629664112e-05,0.00047104744436709503,185
rfd3_safeprotein,rfd3,block6,identity,699,0.34391184573002753,1.1653517503873445e-05,0.00047104744436709503,48
rfd3_safeprotein,rfd3,block6,identity,116,0.655206611570248,1.3053450857114512e-05,0.0004807698340820414,11
rfd3_safeprotein,rfd3,block6,sae_encode,125,0.3071349862258953,6.057526036329364e-08,9.510315877037101e-06,271
rfd3_safeprotein,rfd3,block6,sae_encode,3,0.3586501377410468,4.595925929606892e-05,0.002405201236494274,173
rfd3_safeprotein,rfd3,block6,sae_encode,106,0.3840771349862259,0.00040475346031598747,0.012709258653922006,128
rfd3_safeprotein,rfd3,block6,sae_encode,599,0.40611570247933887,3.6077137337997556e-05,0.002405201236494274,44
rfd3_safeprotein,rfd3,block6,sae_encode,450,0.40801652892561985,0.00021748292783740908,0.008536204917618306,55
rfd3_safeprotein,rfd3,block6,sae_encode,193,0.41763085399449035,0.0027735233306884766,0.04354431629180908,72
rfd3_safeprotein,rfd3,block6,sae_encode,164,0.5766391184573003,0.017536496743559837,0.13125006810185455,120
rfd3_safeprotein,rfd3,block6,sae_encode,685,0.574931129476584,0.035103995352983475,0.16489065230331,236
rfd3_safeprotein,rfd3,block6,sae_encode,358,0.425564738292011,0.026879698038101196,0.16488048050086945,144
rfd3_safeprotein,rfd3,block6,sae_encode,217,0.42710743801652895,0.02532750740647316,0.16488048050086945,125
rfd3_safeprotein,rfd3,block6,sae_encode,44,0.42763085399449036,0.009579616598784924,0.10026665373394887,75
rfd3_safeprotein,rfd3,block6,sae_encode,19,0.5715151515151515,0.041388195008039474,0.18049851711839435,189
rfd3_safeprotein,rfd3,block6,sae_encode,735,0.42920110192837463,0.0011856802739202976,0.02326897537568584,40
rfd3_safeprotein,rfd3,block6,sae_encode,59,0.5672176308539945,0.045352280139923096,0.1924407562694034,143
rfd3_safeprotein,rfd3,block6,sae_encode,668,0.5645730027548209,0.02853550761938095,0.16488048050086945,88
